year,material,commodity,origin_region,destination_region,flow_kt
1998,zinc,refined_metal,China,China,0.0
1998,zinc,refined_metal,China,EU27,31519.9914
1998,zinc,refined_metal,China,RoW,497480.3581
1998,zinc,refined_metal,EU27,China,983.9467999999999
1998,zinc,refined_metal,EU27,EU27,1009998.1553
1998,zinc,refined_metal,EU27,RoW,328732.5451
1998,zinc,refined_metal,RoW,China,12458.425
1998,zinc,refined_metal,RoW,EU27,576983.8422
1998,zinc,refined_metal,RoW,RoW,1750913.4711
1998,zinc,scrap,China,China,0.0
1998,zinc,scrap,China,EU27,85.071
1998,zinc,scrap,China,RoW,5892.315
1998,zinc,scrap,EU27,China,8455.986
1998,zinc,scrap,EU27,EU27,233654.2225
1998,zinc,scrap,EU27,RoW,87467.147
1998,zinc,scrap,RoW,China,30202.552999999996
1998,zinc,scrap,RoW,EU27,34428.4625
1998,zinc,scrap,RoW,RoW,162698.32
1999,nickel,concentrates,China,China,0.0
1999,nickel,concentrates,China,EU27,0.0
1999,nickel,concentrates,China,RoW,514.6943
1999,nickel,concentrates,EU27,China,40.55815
1999,nickel,concentrates,EU27,EU27,2843.2578
1999,nickel,concentrates,EU27,RoW,15501.44275
1999,nickel,concentrates,RoW,China,274.62885
1999,nickel,concentrates,RoW,EU27,273539.7182
1999,nickel,concentrates,RoW,RoW,6745201.705
1999,nickel,refined_metal,China,China,0.0
1999,nickel,refined_metal,China,EU27,37.221000000000004
1999,nickel,refined_metal,China,RoW,18634.5307
1999,nickel,refined_metal,EU27,China,159.02085
1999,nickel,refined_metal,EU27,EU27,101235.1362
1999,nickel,refined_metal,EU27,RoW,30323.60125
1999,nickel,refined_metal,RoW,China,4866.33215
1999,nickel,refined_metal,RoW,EU27,272911.4438
1999,nickel,refined_metal,RoW,RoW,528533.1
1999,nickel,scrap,China,China,0.0
1999,nickel,scrap,China,EU27,0.0
1999,nickel,scrap,China,RoW,1202.378
1999,nickel,scrap,EU27,China,20.601
1999,nickel,scrap,EU27,EU27,20638.632
1999,nickel,scrap,EU27,RoW,11521.781
1999,nickel,scrap,RoW,China,946.0129999999999
1999,nickel,scrap,RoW,EU27,10623.969000000001
1999,nickel,scrap,RoW,RoW,118472.90900000001
1999,tin,concentrates,China,China,0.0
