mode,year,material,commodity,destination_region,origin_region,share_origin_frac
constrained,1999,tin,scrap,RoW,EU27,0.03919540145537989
constrained,1999,tin,scrap,RoW,RoW,0.9525525552688298
constrained,1999,zinc,concentrates,China,China,0.0
constrained,1999,zinc,concentrates,China,EU27,0.00011321099447436035
constrained,1999,zinc,concentrates,China,RoW,0.9998867890055257
constrained,1999,zinc,concentrates,EU27,China,0.008578303399284845
constrained,1999,zinc,concentrates,EU27,EU27,0.3367985889810209
constrained,1999,zinc,concentrates,EU27,RoW,0.6546231076196943
constrained,1999,zinc,concentrates,RoW,China,0.056647382653799094
constrained,1999,zinc,concentrates,RoW,EU27,0.06106752163826434
constrained,1999,zinc,concentrates,RoW,RoW,0.8822850957079367
constrained,1999,zinc,refined_metal,China,China,0.0
constrained,1999,zinc,refined_metal,China,EU27,0.08337703260751332
constrained,1999,zinc,refined_metal,China,RoW,0.9166229673924867
constrained,1999,zinc,refined_metal,EU27,China,0.017237385341270645
constrained,1999,zinc,refined_metal,EU27,EU27,0.7070514183108424
constrained,1999,zinc,refined_metal,EU27,RoW,0.275711196347887
constrained,1999,zinc,refined_metal,RoW,China,0.19017461516391143
constrained,1999,zinc,refined_metal,RoW,EU27,0.12621396656833456
constrained,1999,zinc,refined_metal,RoW,RoW,0.683611418267754
constrained,1999,zinc,scrap,China,China,0.0
constrained,1999,zinc,scrap,China,EU27,0.3226977315989361
constrained,1999,zinc,scrap,China,RoW,0.677302268401064
constrained,1999,zinc,scrap,EU27,China,0.0008275353983716403
constrained,1999,zinc,scrap,EU27,EU27,0.8685199993977871
constrained,1999,zinc,scrap,EU27,RoW,0.13065246520384124
constrained,1999,zinc,scrap,RoW,China,0.03388125038853128
constrained,1999,zinc,scrap,RoW,EU27,0.35365269935314164
constrained,1999,zinc,scrap,RoW,RoW,0.6124660502583271
constrained,2000,nickel,concentrates,China,China,0.0
constrained,2000,nickel,concentrates,China,EU27,0.020099678297464504
constrained,2000,nickel,concentrates,China,RoW,0.9799003217025355
constrained,2000,nickel,concentrates,EU27,China,1.8352870164962634e-07
constrained,2000,nickel,concentrates,EU27,EU27,0.012624400831053774
constrained,2000,nickel,concentrates,EU27,RoW,0.9873754156402446
constrained,2000,nickel,concentrates,RoW,China,3.272939619600574e-05
constrained,2000,nickel,concentrates,RoW,EU27,0.004334791098682817
constrained,2000,nickel,concentrates,RoW,RoW,0.9956324795051211
constrained,2000,nickel,refined_metal,China,China,0.0
constrained,2000,nickel,refined_metal,China,EU27,0.02558757806477659
constrained,2000,nickel,refined_metal,China,RoW,0.9744124219352235
constrained,2000,nickel,refined_metal,EU27,China,9.407755582267935e-05
constrained,2000,nickel,refined_metal,EU27,EU27,0.25416589173348103
constrained,2000,nickel,refined_metal,EU27,RoW,0.7457400307106964
constrained,2000,nickel,refined_metal,RoW,China,0.021455973663509167
constrained,2000,nickel,refined_metal,RoW,EU27,0.0534135673866825
constrained,2000,nickel,refined_metal,RoW,RoW,0.9251304589498083
constrained,2000,nickel,scrap,China,China,0.0
constrained,2000,nickel,scrap,China,EU27,0.06993515674908603
constrained,2000,nickel,scrap,China,RoW,0.930064843250914
constrained,2000,nickel,scrap,EU27,China,4.321481717947309e-05
