year,material,commodity,region,supply_avail_kt,import_need_kt,export_cap_raw_kt,exportable_kt
2002,zinc,concentrates,China,18342.555099999998,759363.4425,227370.79849999998,18342.555099999998
2002,zinc,concentrates,EU27,1571085.8747,4313546.916200001,1704360.7763000003,1571085.8747
2002,zinc,concentrates,RoW,7922258.8761,4438776.947199999,7620620.2779,7620620.2779
2002,zinc,refined_metal,China,573434.6184,76988.11750000001,649194.6521,573434.6184
2002,zinc,refined_metal,EU27,1430036.9383,1628575.9183,1366113.902,1366113.902
2002,zinc,refined_metal,RoW,3125991.8529,3423899.3738,3125991.8529,3125991.8529
2002,zinc,scrap,China,4391.3015000000005,75853.406,10731.4665,4391.3015000000005
2002,zinc,scrap,EU27,349434.218,289755.5965,348172.19,348172.19
2002,zinc,scrap,RoW,349281.144,337497.66099999996,349281.144,349281.144
2003,nickel,concentrates,China,11.4677,10640.0297,333.66104999999993,11.4677
2003,nickel,concentrates,EU27,42953.67425,218634.9985,42953.67425,42953.67425
2003,nickel,concentrates,RoW,8498417.7642,8312107.87795,8089310.270449999,8089310.270449999
2003,nickel,refined_metal,China,7654.940300000001,67814.7173,12227.193500000001,7654.940300000001
2003,nickel,refined_metal,EU27,116087.19375,479865.7785,135500.64655,116087.19375
2003,nickel,refined_metal,RoW,1087136.3147999998,663197.95305,1054504.27745,1054504.27745
2003,nickel,scrap,China,474.29900000000004,691.8870000000001,1202.378,474.29900000000004
2003,nickel,scrap,EU27,39334.106,38308.202000000005,40038.748999999996,39334.106
2003,nickel,scrap,RoW,99494.619,100302.935,130042.89100000002,99494.619
2003,tin,concentrates,China,451.882,3100.46,3438.533,451.882
2003,tin,concentrates,EU27,1543.214,638.758,6220.438,1543.214
2003,tin,concentrates,RoW,35592.133,33848.011,100963.34599999999,35592.133
2003,tin,refined_metal,China,49503.06,13447.837,74890.06599999999,49503.06
2003,tin,refined_metal,EU27,22258.251,90545.931,23797.519,22258.251
2003,tin,refined_metal,RoW,258511.16999999998,226278.713,258511.16999999998,258511.16999999998
2003,tin,scrap,China,48.165,1781.96,704.479,48.165
2003,tin,scrap,EU27,5687.7,8337.129,7994.767,5687.7
2003,tin,scrap,RoW,18662.494,14279.27,39223.683999999994,18662.494
2003,zinc,concentrates,China,12152.2065,737628.4397,178046.5848,12152.2065
2003,zinc,concentrates,EU27,2234088.7203,4856335.7175,1720651.7539999997,1720651.7539999997
2003,zinc,concentrates,RoW,7811677.2456,4463954.0152,7811677.2456,7811677.2456
2003,zinc,refined_metal,China,533207.8975000001,128763.1683,649194.6521,533207.8975000001
2003,zinc,refined_metal,EU27,1565069.2432,1748630.315,1430036.9383,1430036.9383
2003,zinc,refined_metal,RoW,2798363.1314,3019246.7888,3125991.8529,2798363.1314
2003,zinc,scrap,China,3338.091,115497.807,10731.4665,3338.091
2003,zinc,scrap,EU27,372306.5735,283144.29850000003,349434.218,349434.218
2003,zinc,scrap,RoW,312550.97000000003,289553.529,349281.144,312550.97000000003
2004,nickel,concentrates,China,14.166450000000001,115464.11425,283.07705,14.166450000000001
2004,nickel,concentrates,EU27,18195.69465,214738.9345,42953.67425,18195.69465
2004,nickel,concentrates,RoW,9575150.60135,9263157.4137,8498417.7642,8498417.7642
2004,nickel,refined_metal,China,11826.06155,60222.522750000004,11826.06155,11826.06155
2004,nickel,refined_metal,EU27,126548.45135000002,488325.03449999995,135500.64655,126548.45135000002
2004,nickel,refined_metal,RoW,1138704.76565,728531.7213,1087136.3147999998,1087136.3147999998
2004,nickel,scrap,China,603.864,754.135,603.864,603.864
2004,nickel,scrap,EU27,34855.466,39541.162,40038.748999999996,34855.466
2004,nickel,scrap,RoW,71134.662,66298.69499999999,99494.619,71134.662
2004,tin,concentrates,China,705.2909999999999,5473.201000000001,3052.376,705.2909999999999
2004,tin,concentrates,EU27,2633.98,1477.316,4832.979,2633.98
2004,tin,concentrates,RoW,42649.64599999999,39038.399999999994,67426.52,42649.64599999999
2004,tin,refined_metal,China,50662.172,24235.122,74890.06599999999,50662.172
2004,tin,refined_metal,EU27,27099.413,89469.173,23797.519,23797.519
2004,tin,refined_metal,RoW,357331.50299999997,321388.79299999995,357331.50299999997,357331.50299999997
2004,tin,scrap,China,101.069,3602.717,197.18699999999998,101.069
2004,tin,scrap,EU27,8744.880000000001,11643.479,8650.287,8650.287
2004,tin,scrap,RoW,31711.818,25311.571,38244.77099999999,31711.818
2004,zinc,concentrates,China,7215.7763,613513.2792999999,21908.519900000003,7215.7763
2004,zinc,concentrates,EU27,2452422.4838,5075301.2631,2234088.7203,2234088.7203
2004,zinc,concentrates,RoW,7443044.8729,4213868.5906,7811677.2456,7443044.8729
2004,zinc,refined_metal,China,382431.1972,263380.0397,649194.6521,382431.1972
2004,zinc,refined_metal,EU27,1666721.5522,1862589.6834,1565069.2432,1565069.2432
2004,zinc,refined_metal,RoW,3058143.9070999995,2981326.9333999995,3058143.9070999995,3058143.9070999995
2004,zinc,scrap,China,950.7215,131160.72600000002,4391.3015000000005,950.7215
2004,zinc,scrap,EU27,414852.755,332112.3735,372306.5735,372306.5735
2004,zinc,scrap,RoW,464936.29800000007,417466.67500000005,349281.144,349281.144
2005,nickel,concentrates,China,400.62045000000006,552525.46475,333.66104999999993,333.66104999999993
2005,nickel,concentrates,EU27,112503.82539999999,305390.40565,43183.0482,43183.0482
2005,nickel,concentrates,RoW,9791983.06425,9046971.6397,9575150.60135,9575150.60135
2005,nickel,refined_metal,China,13485.41855,97848.92925,11826.06155,11826.06155
2005,nickel,refined_metal,EU27,117055.7226,491326.86635,135500.64655,117055.7226
2005,nickel,refined_metal,RoW,1158557.14375,699922.4893,1138704.76565,1138704.76565
2005,nickel,scrap,China,593.149,2782.977,593.149,593.149
2005,nickel,scrap,EU27,36384.022,42590.566999999995,39334.106,36384.022
2005,nickel,scrap,RoW,82214.25099999999,73817.878,99494.619,82214.25099999999
2005,tin,concentrates,China,866.0659999999999,4319.322,1142.477,866.0659999999999
2005,tin,concentrates,EU27,3193.312,3360.3230000000003,3193.312,3193.312
2005,tin,concentrates,RoW,50273.267,46653.0,65289.187,50273.267
2005,tin,refined_metal,China,32072.062,28359.67,56056.454000000005,32072.062
2005,tin,refined_metal,EU27,30789.639000000003,93412.325,27099.413,27099.413
2005,tin,refined_metal,RoW,373495.243,314584.949,373495.243,373495.243
2005,tin,scrap,China,48.1,22516.915,101.069,48.1
2005,tin,scrap,EU27,5973.505,6711.4400000000005,8650.287,5973.505
2005,tin,scrap,RoW,57472.347,34265.597,39223.683999999994,39223.683999999994
2005,zinc,concentrates,China,6197.0103,683510.2009,18342.555099999998,6197.0103
2005,zinc,concentrates,EU27,2502561.3727,5115131.3964,2452422.4838,2452422.4838
2005,zinc,concentrates,RoW,7430515.1537,4140631.9394,7811677.2456,7430515.1537
2005,zinc,refined_metal,China,220332.02370000002,406011.7046,573434.6184,220332.02370000002
2005,zinc,refined_metal,EU27,1667963.8233,1781431.4966000002,1666721.5522,1666721.5522
2005,zinc,refined_metal,RoW,3120731.6933,2821584.3391,3120731.6933,3120731.6933
2005,zinc,scrap,China,1401.932,140901.9855,3338.091,1401.932
2005,zinc,scrap,EU27,455260.16300000006,374981.393,414852.755,414852.755
2005,zinc,scrap,RoW,501846.82699999993,442625.54349999997,464936.29800000007,464936.29800000007
2006,nickel,concentrates,China,269.89495,4653766.677399999,333.66104999999993,269.89495
2006,nickel,concentrates,EU27,144190.20265,243166.38875,112503.82539999999,112503.82539999999
2006,nickel,concentrates,RoW,13773399.150400002,9020926.181850001,9791983.06425,9791983.06425
2006,nickel,refined_metal,China,9805.35305,135338.3816,11826.06155,9805.35305
2006,nickel,refined_metal,EU27,156030.80034999998,497397.56124999997,135500.64655,135500.64655
2006,nickel,refined_metal,RoW,1137359.8525999999,670460.06315,1138704.76565,1137359.8525999999
2006,nickel,scrap,China,1326.082,28833.363999999998,603.864,603.864
2006,nickel,scrap,EU27,37940.165,50957.327,39091.755,37940.165
2006,nickel,scrap,RoW,107674.7,67150.256,107674.7,107674.7
2006,tin,concentrates,China,2424.3959999999997,3513.4280000000003,1142.477,1142.477
2006,tin,concentrates,EU27,2731.9750000000004,4236.402,3137.399,2731.9750000000004
2006,tin,concentrates,RoW,37655.729999999996,35062.271,50273.267,37655.729999999996
2006,tin,refined_metal,China,29495.442000000003,22579.256,50662.172,29495.442000000003
2006,tin,refined_metal,EU27,32253.14,119178.153,30789.639000000003,30789.639000000003
2006,tin,refined_metal,RoW,427891.662,347882.835,418930.681,418930.681
2006,tin,scrap,China,431.756,34074.055,101.069,101.069
2006,tin,scrap,EU27,9355.193000000001,12603.633000000002,8744.880000000001,8744.880000000001
2006,tin,scrap,RoW,85904.303,49013.564,57472.347,57472.347
2006,zinc,concentrates,China,7720.5361,904310.8652,12152.2065,7720.5361
2006,zinc,concentrates,EU27,2464650.7583,5073602.063999999,2464650.7583,2464650.7583
2006,zinc,concentrates,RoW,8018313.7994,4512772.1646,7922258.8761,7922258.8761
2006,zinc,refined_metal,China,548181.8979,458644.0563,548181.8979,548181.8979
2006,zinc,refined_metal,EU27,2702533.2377,3056435.8135,1667963.8233,1667963.8233
2006,zinc,refined_metal,RoW,3909951.1445999998,3645586.4104,3125991.8529,3125991.8529
2006,zinc,scrap,China,1983.156,128992.63949999999,3338.091,1983.156
2006,zinc,scrap,EU27,485852.90800000005,369544.44149999996,455260.16300000006,455260.16300000006
2006,zinc,scrap,RoW,601175.5299999999,590474.513,501846.82699999993,501846.82699999993
2007,nickel,concentrates,China,594.41895,15738604.131299999,400.62045000000006,400.62045000000006
2007,nickel,concentrates,EU27,120059.0306,862889.9646,120059.0306,120059.0306
2007,nickel,concentrates,RoW,25425832.0864,8944991.44005,13773399.150400002,13773399.150400002
2007,nickel,refined_metal,China,10947.18205,136720.69269999996,11826.06155,10947.18205
2007,nickel,refined_metal,EU27,164719.6424,520745.74039999995,156030.80034999998,156030.80034999998
