year,material,commodity,origin_region,destination_region,flow_kt
1998,nickel,refined_metal,RoW,EU27,246416.8831366399
1998,nickel,refined_metal,RoW,RoW,522331.49917407805
1998,nickel,scrap,China,China,0.0
1998,nickel,scrap,China,EU27,27.343379360473968
1998,nickel,scrap,China,RoW,730.2886206395261
1998,nickel,scrap,EU27,China,3.408681468895051
1998,nickel,scrap,EU27,EU27,15819.128271014752
1998,nickel,scrap,EU27,RoW,10702.120047516353
1998,nickel,scrap,RoW,China,343.46831853110496
1998,nickel,scrap,RoW,EU27,21380.259349624772
1998,nickel,scrap,RoW,RoW,92921.11233184412
1998,tin,concentrates,China,China,0.0
1998,tin,concentrates,China,EU27,6.148995565013527
1998,tin,concentrates,China,RoW,509.66300443498653
1998,tin,concentrates,EU27,China,0.0
1998,tin,concentrates,EU27,EU27,2875.8963463663895
1998,tin,concentrates,EU27,RoW,10351.986903633611
1998,tin,concentrates,RoW,China,386.3796988561371
1998,tin,concentrates,RoW,EU27,8159.193658068599
1998,tin,concentrates,RoW,RoW,49458.47864307527
1998,tin,refined_metal,China,China,0.0
1998,tin,refined_metal,China,EU27,25450.104012342894
1998,tin,refined_metal,China,RoW,41983.68373765711
1998,tin,refined_metal,EU27,China,56.630426957475684
1998,tin,refined_metal,EU27,EU27,19761.018185227647
1998,tin,refined_metal,EU27,RoW,6440.361637814876
1998,tin,refined_metal,RoW,China,8559.517010837772
1998,tin,refined_metal,RoW,EU27,40972.464261149
1998,tin,refined_metal,RoW,RoW,179243.25072801323
1998,tin,scrap,China,China,0.0
1998,tin,scrap,China,EU27,72.84118867025714
1998,tin,scrap,China,RoW,153.81656132974285
1998,tin,scrap,EU27,China,0.0
1998,tin,scrap,EU27,EU27,4377.533699418274
1998,tin,scrap,EU27,RoW,674.6653005817266
1998,tin,scrap,RoW,China,894.847
1998,tin,scrap,RoW,EU27,2679.726197626258
1998,tin,scrap,RoW,RoW,17066.879138088534
1998,zinc,concentrates,China,China,0.0
1998,zinc,concentrates,China,EU27,31225.32531712317
1998,zinc,concentrates,China,RoW,196145.4731828768
1998,zinc,concentrates,EU27,China,2.999219662561106
1998,zinc,concentrates,EU27,EU27,1505078.512313122
1998,zinc,concentrates,EU27,RoW,199279.1322490576
1998,zinc,concentrates,RoW,China,61476.796980337436
1998,zinc,concentrates,RoW,EU27,2847660.5724697546
1998,zinc,concentrates,RoW,RoW,3070187.9051458645
1998,zinc,refined_metal,China,China,0.0
1998,zinc,refined_metal,China,EU27,34680.527451687296
1998,zinc,refined_metal,China,RoW,494319.8220483127
1998,zinc,refined_metal,EU27,China,765.454910452954
1998,zinc,refined_metal,EU27,EU27,934263.36866202
1998,zinc,refined_metal,EU27,RoW,404685.82362752705
1998,zinc,refined_metal,RoW,China,12676.916889547045
1998,zinc,refined_metal,RoW,EU27,476006.64041129267
1998,zinc,refined_metal,RoW,RoW,1678120.7286241604
1998,zinc,scrap,China,China,0.0
1998,zinc,scrap,China,EU27,460.67032824402133
1998,zinc,scrap,China,RoW,5346.633968920725
1998,zinc,scrap,EU27,China,8532.55344932849
1998,zinc,scrap,EU27,EU27,220972.76846646625
1998,zinc,scrap,EU27,RoW,97096.65669080499
1998,zinc,scrap,RoW,China,23662.509084332192
1998,zinc,scrap,RoW,EU27,46734.3172052897
1998,zinc,scrap,RoW,RoW,153614.49134027434
1999,nickel,concentrates,China,China,0.0
1999,nickel,concentrates,China,EU27,0.0
1999,nickel,concentrates,China,RoW,514.6943
1999,nickel,concentrates,EU27,China,0.7944359701136294
1999,nickel,concentrates,EU27,EU27,1361.027927569332
1999,nickel,concentrates,EU27,RoW,17023.436336460552
1999,nickel,concentrates,RoW,China,314.3925640298864
1999,nickel,concentrates,RoW,EU27,259564.48551249888
1999,nickel,concentrates,RoW,RoW,6113211.986623471
1999,nickel,refined_metal,China,China,0.0
1999,nickel,refined_metal,China,EU27,55.62405392137337
1999,nickel,refined_metal,China,RoW,12329.960696078626
1999,nickel,refined_metal,EU27,China,201.30828296260788
1999,nickel,refined_metal,EU27,EU27,85118.47868679799
1999,nickel,refined_metal,EU27,RoW,28329.434330239408
1999,nickel,refined_metal,RoW,China,4824.044717037392
1999,nickel,refined_metal,RoW,EU27,262618.431552334
1999,nickel,refined_metal,RoW,RoW,530611.3624306286
1999,nickel,scrap,China,China,0.0
1999,nickel,scrap,China,EU27,29.585070433105805
1999,nickel,scrap,China,RoW,841.1477176359315
1999,nickel,scrap,EU27,China,12.340568494513713
1999,nickel,scrap,EU27,EU27,17521.037573507736
1999,nickel,scrap,EU27,RoW,14620.88273217675
1999,nickel,scrap,RoW,China,575.024015156577
1999,nickel,scrap,RoW,EU27,13711.978356059162
1999,nickel,scrap,RoW,RoW,115735.03755018735
1999,tin,concentrates,China,China,0.0
1999,tin,concentrates,China,EU27,21.952848989491912
1999,tin,concentrates,China,RoW,3414.082859964041
1999,tin,concentrates,EU27,China,0.26659156173597637
1999,tin,concentrates,EU27,EU27,493.73065652950874
1999,tin,concentrates,EU27,RoW,5670.278030159442
1999,tin,concentrates,RoW,China,1037.8011519055847
1999,tin,concentrates,RoW,EU27,1150.7004944809994
1999,tin,concentrates,RoW,RoW,98645.30510987651
1999,tin,refined_metal,China,China,0.0
1999,tin,refined_metal,China,EU27,23613.29229911579
1999,tin,refined_metal,China,RoW,45722.75570088423
1999,tin,refined_metal,EU27,China,90.34148631544598
1999,tin,refined_metal,EU27,EU27,16287.753438713005
1999,tin,refined_metal,EU27,RoW,10108.15907497155
1999,tin,refined_metal,RoW,China,9385.66901364888
1999,tin,refined_metal,RoW,EU27,35345.21726217121
1999,tin,refined_metal,RoW,RoW,181559.29072417997
1999,tin,scrap,China,China,0.0
1999,tin,scrap,China,EU27,231.4793193762563
1999,tin,scrap,China,RoW,242.67468062374368
1999,tin,scrap,EU27,China,0.0
1999,tin,scrap,EU27,EU27,4023.471321838184
1999,tin,scrap,EU27,RoW,1152.6516781618159
1999,tin,scrap,RoW,China,829.9856281284968
1999,tin,scrap,RoW,EU27,2522.287358785559
1999,tin,scrap,RoW,RoW,28012.503013085945
1999,zinc,concentrates,China,China,0.0
1999,zinc,concentrates,China,EU27,36293.29126703929
1999,zinc,concentrates,China,RoW,212385.0098329607
1999,zinc,concentrates,EU27,China,5.754034789230767
1999,zinc,concentrates,EU27,EU27,1424935.5285376231
1999,zinc,concentrates,EU27,RoW,228957.20112758788
1999,zinc,concentrates,RoW,China,50820.00556521077
1999,zinc,concentrates,RoW,EU27,2769595.1062953384
1999,zinc,concentrates,RoW,RoW,3307904.442339451
1999,zinc,refined_metal,China,China,0.0
1999,zinc,refined_metal,China,EU27,23887.54445761499
1999,zinc,refined_metal,China,RoW,541821.7829423851
1999,zinc,refined_metal,EU27,China,965.5701588021733
1999,zinc,refined_metal,EU27,EU27,979830.8649677703
1999,zinc,refined_metal,EU27,RoW,359593.08417342766
1999,zinc,refined_metal,RoW,China,10615.198892400103
1999,zinc,refined_metal,RoW,EU27,382080.1896476532
1999,zinc,refined_metal,RoW,RoW,1947660.3497599466
1999,zinc,scrap,China,China,0.0
1999,zinc,scrap,China,EU27,217.18573349777844
1999,zinc,scrap,China,RoW,10530.603766502221
1999,zinc,scrap,EU27,China,10311.587411401359
1999,zinc,scrap,EU27,EU27,227942.0958884299
1999,zinc,scrap,EU27,RoW,109918.50670016877
1999,zinc,scrap,RoW,China,21642.735168768137
1999,zinc,scrap,RoW,EU27,34289.59237807232
1999,zinc,scrap,RoW,RoW,190360.07295315954
2000,nickel,concentrates,China,China,0.0
2000,nickel,concentrates,China,EU27,0.04773038285867542
2000,nickel,concentrates,China,RoW,222.22776910659988
2000,nickel,concentrates,EU27,China,32.06849672459155
2000,nickel,concentrates,EU27,EU27,3283.2329745237075
2000,nickel,concentrates,EU27,RoW,29432.591717686217
2000,nickel,concentrates,RoW,China,1563.4046372228738
2000,nickel,concentrates,RoW,EU27,256787.11934509344
2000,nickel,concentrates,RoW,RoW,6760197.5742374845
2000,nickel,refined_metal,China,China,0.0
2000,nickel,refined_metal,China,EU27,34.39246624781221
2000,nickel,refined_metal,China,RoW,12192.80103375219
2000,nickel,refined_metal,EU27,China,209.07629119865322
2000,nickel,refined_metal,EU27,EU27,92916.86817698495
2000,nickel,refined_metal,EU27,RoW,30353.364981816427
2000,nickel,refined_metal,RoW,China,7961.931166770336
2000,nickel,refined_metal,RoW,EU27,272624.41728611663
2000,nickel,refined_metal,RoW,RoW,525724.5274971131
2000,nickel,scrap,China,China,0.0
2000,nickel,scrap,China,EU27,1.4690242625409364
2000,nickel,scrap,China,RoW,1200.908975737459
2000,nickel,scrap,EU27,China,31.01879239894546
2000,nickel,scrap,EU27,EU27,22041.676088330467
2000,nickel,scrap,EU27,RoW,10108.319119270589
2000,nickel,scrap,RoW,China,412.5176753927113
2000,nickel,scrap,RoW,EU27,11950.386699424436
2000,nickel,scrap,RoW,RoW,73275.00962518287
2000,tin,concentrates,China,China,0.0
2000,tin,concentrates,China,EU27,25.023077965090888
2000,tin,concentrates,China,RoW,3014.422395394634
2000,tin,concentrates,EU27,China,89.00621459384203
2000,tin,concentrates,EU27,EU27,1041.1270555549293
2000,tin,concentrates,EU27,RoW,14152.86511018028
2000,tin,concentrates,RoW,China,1140.3884238004503
2000,tin,concentrates,RoW,EU27,536.7628664799798
