year,material,region,value
1934,tin,China,
1934,tin,RoW,
1934,zinc,EU27,
1934,zinc,China,
1934,zinc,RoW,
1934,nickel,EU27,
1934,nickel,China,
1934,nickel,RoW,
1935,tin,EU27,
1935,tin,China,
1935,tin,RoW,
1935,zinc,EU27,
1935,zinc,China,
1935,zinc,RoW,
1935,nickel,EU27,
1935,nickel,China,
1935,nickel,RoW,
1936,tin,EU27,
1936,tin,China,
1936,tin,RoW,
1936,zinc,EU27,
1936,zinc,China,
1936,zinc,RoW,
1936,nickel,EU27,
1936,nickel,China,
1936,nickel,RoW,
1937,tin,EU27,
1937,tin,China,
1937,tin,RoW,
1937,zinc,EU27,
1937,zinc,China,
1937,zinc,RoW,
1937,nickel,EU27,
1937,nickel,China,
1937,nickel,RoW,
1938,tin,EU27,
1938,tin,China,
1938,tin,RoW,
1938,zinc,EU27,
1938,zinc,China,
1938,zinc,RoW,
1938,nickel,EU27,
1938,nickel,China,
1938,nickel,RoW,
1939,tin,EU27,
1939,tin,China,
1939,tin,RoW,
1939,zinc,EU27,
1939,zinc,China,
1939,zinc,RoW,
1939,nickel,EU27,
1939,nickel,China,
1939,nickel,RoW,
1940,tin,EU27,
1940,tin,China,
1940,tin,RoW,
1940,zinc,EU27,
1940,zinc,China,
1940,zinc,RoW,
1940,nickel,EU27,
1940,nickel,China,
1940,nickel,RoW,
1941,tin,EU27,
1941,tin,China,
1941,tin,RoW,
1941,zinc,EU27,
1941,zinc,China,
1941,zinc,RoW,
1941,nickel,EU27,
1941,nickel,China,
1941,nickel,RoW,
1942,tin,EU27,
1942,tin,China,
1942,tin,RoW,
1942,zinc,EU27,
1942,zinc,China,
1942,zinc,RoW,
1942,nickel,EU27,
1942,nickel,China,
1942,nickel,RoW,
1943,tin,EU27,
1943,tin,China,
1943,tin,RoW,
1943,zinc,EU27,
1943,zinc,China,
1943,zinc,RoW,
1943,nickel,EU27,
1943,nickel,China,
1943,nickel,RoW,
1944,tin,EU27,
1944,tin,China,
1944,tin,RoW,
1944,zinc,EU27,
1944,zinc,China,
1944,zinc,RoW,
1944,nickel,EU27,
1944,nickel,China,
1944,nickel,RoW,
1945,tin,EU27,
1945,tin,China,
1945,tin,RoW,
1945,zinc,EU27,
1945,zinc,China,
1945,zinc,RoW,
1945,nickel,EU27,
1945,nickel,China,
1945,nickel,RoW,
1946,tin,EU27,
1946,tin,China,
1946,tin,RoW,
1946,zinc,EU27,
1946,zinc,China,
1946,zinc,RoW,
1946,nickel,EU27,
1946,nickel,China,
1946,nickel,RoW,
1947,tin,EU27,
1947,tin,China,
1947,tin,RoW,
1947,zinc,EU27,
1947,zinc,China,
1947,zinc,RoW,
1947,nickel,EU27,
1947,nickel,China,
1947,nickel,RoW,
1948,tin,EU27,
1948,tin,China,
1948,tin,RoW,
1948,zinc,EU27,
1948,zinc,China,
1948,zinc,RoW,
1948,nickel,EU27,
1948,nickel,China,
1948,nickel,RoW,
1949,tin,EU27,
1949,tin,China,
1949,tin,RoW,
1949,zinc,EU27,
1949,zinc,China,
1949,zinc,RoW,
1949,nickel,EU27,
1949,nickel,China,
1949,nickel,RoW,
1950,tin,EU27,
1950,tin,China,
1950,tin,RoW,
1950,zinc,EU27,
1950,zinc,China,
1950,zinc,RoW,
1950,nickel,EU27,
1950,nickel,China,
1950,nickel,RoW,
1951,tin,EU27,
1951,tin,China,
1951,tin,RoW,
1951,zinc,EU27,
1951,zinc,China,
1951,zinc,RoW,
1951,nickel,EU27,
1951,nickel,China,
1951,nickel,RoW,
1952,tin,EU27,
1952,tin,China,
1952,tin,RoW,
1952,zinc,EU27,
1952,zinc,China,
1952,zinc,RoW,
1952,nickel,EU27,
1952,nickel,China,
1952,nickel,RoW,
1953,tin,EU27,
1953,tin,China,
1953,tin,RoW,
1953,zinc,EU27,
1953,zinc,China,
1953,zinc,RoW,
1953,nickel,EU27,
1953,nickel,China,
1953,nickel,RoW,
1954,tin,EU27,
1954,tin,China,
1954,tin,RoW,
1954,zinc,EU27,
1954,zinc,China,
1954,zinc,RoW,
1954,nickel,EU27,
1954,nickel,China,
1954,nickel,RoW,
1955,tin,EU27,
1955,tin,China,
1955,tin,RoW,
1955,zinc,EU27,
1955,zinc,China,
1955,zinc,RoW,
1955,nickel,EU27,
1955,nickel,China,
1955,nickel,RoW,
1956,tin,EU27,
1956,tin,China,
1956,tin,RoW,
1956,zinc,EU27,
1956,zinc,China,
1956,zinc,RoW,
1956,nickel,EU27,
1956,nickel,China,
