year,material,region,value
2048,nickel,RoW,2029235.259
2049,nickel,China,4668509.368
2049,nickel,EU27,666929.9097
2049,nickel,RoW,2074893.053
2050,nickel,China,4769510.773
2050,nickel,EU27,681358.6818
2050,nickel,RoW,2119782.566
2051,nickel,China,4868569.843
2051,nickel,EU27,695509.9775
2051,nickel,RoW,2163808.819
2052,nickel,China,4965473.108
2052,nickel,EU27,709353.3011
2052,nickel,RoW,2206876.937
2053,nickel,China,5060008.077
2053,nickel,EU27,722858.2966
2053,nickel,RoW,2248892.478
2054,nickel,China,5151963.993
2054,nickel,EU27,735994.8561
2054,nickel,RoW,2289761.774
2055,nickel,China,5241132.6
2055,nickel,EU27,748733.2286
2055,nickel,RoW,2329392.267
2056,nickel,China,5327308.915
2056,nickel,EU27,761044.1307
2056,nickel,RoW,2367692.851
2057,nickel,China,5410291.996
2057,nickel,EU27,772898.8566
2057,nickel,RoW,2404574.221
2058,nickel,China,5489885.715
2058,nickel,EU27,784269.3878
2058,nickel,RoW,2439949.207
2059,nickel,China,5565899.517
2059,nickel,EU27,795128.5025
2059,nickel,RoW,2473733.119
2060,nickel,China,5638149.174
2060,nickel,EU27,805449.882
2060,nickel,RoW,2505844.077
2061,nickel,China,5706457.52
2061,nickel,EU27,815208.2172
2061,nickel,RoW,2536203.342
2062,nickel,China,5770655.167
2062,nickel,EU27,824379.3096
2062,nickel,RoW,2564735.63
2063,nickel,China,5830581.202
2063,nickel,EU27,832940.1717
2063,nickel,RoW,2591369.423
2064,nickel,China,5886083.85
2064,nickel,EU27,840869.1214
2064,nickel,RoW,2616037.266
2065,nickel,China,5937021.114
2065,nickel,EU27,848145.8734
2065,nickel,RoW,2638676.051
2066,nickel,China,5983261.374
2066,nickel,EU27,854751.6249
2066,nickel,RoW,2659227.277
2067,nickel,China,6024683.953
2067,nickel,EU27,860669.1361
2067,nickel,RoW,2677637.312
2068,nickel,China,6061179.635
2068,nickel,EU27,865882.805
2068,nickel,RoW,2693857.615
2069,nickel,China,6092651.144
2069,nickel,EU27,870378.7349
2069,nickel,RoW,2707844.953
2070,nickel,China,6119013.577
2070,nickel,EU27,874144.7967
2070,nickel,RoW,2719561.59
2071,nickel,China,6140194.778
2071,nickel,EU27,877170.6826
2071,nickel,RoW,2728975.457
2072,nickel,China,6156135.668
2072,nickel,EU27,879447.9526
2072,nickel,RoW,2736060.297
2073,nickel,China,6166790.518
2073,nickel,EU27,880970.0741
2073,nickel,RoW,2740795.786
2074,nickel,China,6172127.164
2074,nickel,EU27,881732.452
2074,nickel,RoW,2743167.629
2075,nickel,China,6172127.164
2075,nickel,EU27,881732.452
2075,nickel,RoW,2743167.629
2076,nickel,China,6172127.164
2076,nickel,EU27,881732.452
2076,nickel,RoW,2743167.629
