year,material,region,value
1877,tin,EU27,51.76213865
1949,tin,RoW,2.438774661
1949,zinc,China,-1944.805491
1878,tin,EU27,51.82393164
1949,zinc,RoW,894.8709437
1950,nickel,China,-5.088428931
1879,tin,EU27,51.88710038
1950,nickel,RoW,-217.572437
1950,tin,China,-64.39403872
1880,tin,EU27,51.95167449
1950,tin,RoW,2.185101719
1950,zinc,China,-1945.388946
1881,tin,EU27,52.01768419
1950,zinc,RoW,893.0508929
1951,nickel,China,-5.088428931
1882,tin,EU27,52.08516024
1951,nickel,RoW,-217.572437
1951,tin,China,-64.39403872
1883,tin,EU27,52.15413399
1951,tin,RoW,1.928381343
1951,zinc,China,-1944.93072
1884,tin,EU27,52.22463736
1951,zinc,RoW,890.1104752
1952,nickel,China,-5.088428931
1885,tin,EU27,52.29670287
1952,nickel,RoW,-217.572437
1952,tin,China,-64.39403872
1886,tin,EU27,52.37036361
1952,tin,RoW,1.668729505
1952,zinc,China,-1943.384158
1887,tin,EU27,52.44565328
1952,zinc,RoW,886.0003854
1953,nickel,China,-5.088428931
1888,tin,EU27,52.52260617
1953,nickel,RoW,-217.572437
1953,tin,China,-64.39403872
1889,tin,EU27,52.60125714
1953,tin,RoW,1.406277398
1953,zinc,China,-1940.702143
1890,tin,EU27,52.68164167
1953,zinc,RoW,880.6707633
1954,nickel,China,-5.088428931
1891,tin,EU27,52.76379585
1954,nickel,RoW,-217.572437
1954,tin,China,-64.39403872
1892,tin,EU27,52.84775632
1954,tin,RoW,1.141172617
1954,zinc,China,-1936.837213
1893,tin,EU27,52.93356037
1954,zinc,RoW,874.0713051
1955,nickel,China,-5.088428931
1894,tin,EU27,53.02124583
1955,nickel,RoW,-217.572437
1955,tin,China,-64.39403872
1895,tin,EU27,53.11085115
1955,tin,RoW,0.87358042
1955,zinc,China,-1931.74168
1896,tin,EU27,53.20241535
1955,zinc,RoW,866.1513844
1956,nickel,China,-5.088428931
1897,tin,EU27,53.29597803
1956,nickel,RoW,-217.572437
1956,tin,China,-64.39403872
1898,tin,EU27,53.39157935
